ProductName,SKU,Category,ItemType,TrackSerials,SerialPrefix,SerialNextNumber,SerialSuffix,Description,DefaultUnitPrice,Markup,IsFixedMarkup,IsTaxInclusivePrice,AGD,Astoria Homes,Beaver Builders,BROOKFIELD,CAS CONSTRUCTION,Country Road Homebuilders,Daniel,David Weekly Homes,DFW Installations,FIG TREE HOMES,FIRST TEXAS HOMES,GH HOMES,Harvest Home Designs,Hunt Homes,Jake Jackson,James Lancaster,JCLI Homes,JOSEPH PAUL HOMES,Key Custom Homes,Malibu Homes,McClintock,Millcreek,NEWPORT HOMEBUILDERS,Pulte ,Stately Design and Renovation,STONEHOLLOW,SUMMA TERRA,TGC Custom Homes,TOLL BROTHERS,TRUTH CONSTRUCTION,TX BUILT CONST,Victor Myers,Villa May,Cost,SpecialTaxRate,LastVendor,VendorProductCode,VendorPrice,BarCode,Uom,SalesUom,SalesUomRatio1,SalesUomRatio2,PurchasingUom,PurchasingUomRatio1,PurchasingUomRatio2,ProductLength,ProductWidth,ProductHeight,ProductWeight,Remarks,CombineQuantityBuildable,AutoManufacture,IsActive
Shelf Supports ,BC000112,CLOSET BRACKETS,Stocked product,FALSE,,,,ORDER PALLET     $1.47EACH    960 PCS,5.04,150,TRUE,FALSE,2.72,2.72,,3.71,,,,,,,,,,,,,,,2.72,,,2.72,2.78,2.8,,2.8,,,,3.11,,,,2.0166,,DW Distribution,,2.02,BC000112,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 3'0"" x 6'8"" LH FC60 THERMA-TRU FIBER-CLASSIC OAK FG DOOR 4-9/16"" JAMB BM BN PEEP",BC000030,PULTE FRONT DOOR,Stocked product,FALSE,,,,"3'0""X6'8"" FC60 THERMA-TRU FIBER-CLASSIC OAK FIBERGLASS DOOR LHIS BRUSHED NICKEL HINGES BORE FOR PEEPSITE PRIMED WOOD FRAME 4-9/16"" PRIMED Brickmold  EXT TRIM",777.32,150,TRUE,FALSE,,,,,,,,,,,,,,,,555.68,,,,,,,,555.68,,,,,,,,,,310.92935,,Boise Cascade,,310.05,BC000030,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"Sure Sill Pan 4-9/16""CP464S040",BC000134,DOOR PANS,Stocked product,FALSE,,,,,71.36,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,52.36,,,,,28.54454,,Suresill,CP464S040,30.82,BC000134,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"Wall Handrail Bracket 3002 Satin Nickel 2-3/4""",BC000156,STAIR PARTS,Stocked product,FALSE,,,,,6.58,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,4.24,,3.29,,,,,,,,,,2.63,,Novo Building Products,,,BC000156,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
"1"" x 6"" x 16' MDF S4S PRIMED",BC000203,TRIM,Stocked product,FALSE,,,,196/ UNIT,20.4,150,TRUE,FALSE,,,,17.92,,,,,,15.36,15.36,,,,15.36,,,15.36,,,,14.88,,,,,,,20.93,,,,15.36,8.16,,METRIE,,8.16,BC000203,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
Wood Shims ,BC000204,DOOR SHIMS,Stocked product,FALSE,,,,36 Packs / BOX,4.04,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,2.18,,,,,,,,,,27,,,,1.78,1.61635,,Novo Building Products,,1.61639,BC000204,packs,packs,1,1,packs,1,1,,,,,,FALSE,FALSE,TRUE
Henry's Fortiflash 4'' Butyl Tape,BC000206,SEALANT,Stocked product,FALSE,,,,,63.33,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,,,,,,,,25.33331,,Boise Cascade,,,BC000206,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
"BC 3'0""x 6'8"" RH FC60 THERMA-TRU FIBER CLASSIC OAK FG DOOR 6-9/16"" JMB BM SN PEEP",BC000237,PULTE FRONT DOOR,Stocked product,FALSE,,,,,823.5,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,607.44,,,,,,,,,,329.4,,Boise Cascade,,,BC000237,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'6"" x 4'10"" RHOS HC Fullbound WSx4 door",BC000240,PULTE HVAC DOOR,Stocked product,FALSE,,,,,454.9,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,181.96,,Boise Cascade,,,BC000240,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'6"" x 4'10"" LHOS HC Fullbound WSx4 door",BC000241,PULTE HVAC DOOR,Stocked product,FALSE,,,,,454.9,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,181.96,,Boise Cascade,,,BC000241,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
